nose_x,nose_y,eye_l_x,eye_l_y,eye_r_x,eye_r_y,shoulder_l_x,shoulder_l_y,shoulder_r_x,shoulder_r_y,label
0.497739017,0.406441212,0.519984424,0.352502644,0.533487022,0.351101249,0.669208944,0.669188619,0.301726252,0.671756685,Good Posture
0.497726291,0.405945301,0.519980967,0.351765543,0.533611894,0.350626737,0.671908021,0.669789851,0.304947853,0.67189759,Good Posture
0.497754335,0.406051069,0.520024896,0.351946801,0.533601582,0.35097605,0.669938207,0.670523345,0.302713305,0.673242927,Good Posture
0.49774164,0.405052632,0.519982934,0.350939572,0.533609271,0.350291193,0.67065835,0.672536254,0.302685112,0.672529817,Good Posture
0.498868763,0.404277235,0.520850301,0.35013324,0.534496605,0.349739999,0.670013547,0.672918856,0.302546531,0.672573626,Good Posture
0.499103129,0.404500425,0.521131158,0.350546628,0.534838676,0.350383252,0.668704748,0.673092723,0.299157113,0.672767878,Good Posture
0.499078095,0.40448761,0.521130621,0.350376248,0.534899473,0.350150943,0.670579791,0.67334342,0.302353799,0.672661006,Good Posture
0.498449624,0.406403899,0.520730019,0.35265556,0.534166694,0.352225095,0.670527577,0.673526168,0.302057952,0.676221073,Good Posture
0.498763978,0.406573862,0.521020412,0.352765054,0.534342885,0.35236454,0.670540273,0.6736449,0.301950336,0.676506281,Good Posture
0.498750061,0.40730077,0.52102834,0.353705108,0.534326434,0.353468895,0.669240475,0.673704386,0.301086098,0.676651716,Good Posture
0.499056041,0.407244086,0.521134853,0.353688508,0.534625709,0.353452891,0.667804718,0.674024642,0.302748591,0.673793614,Good Posture
0.497241825,0.407356352,0.520028174,0.353826642,0.533426642,0.353506237,0.667932212,0.674283803,0.301553786,0.674294829,Good Posture
0.497106135,0.407388359,0.519990265,0.353748888,0.533428192,0.353476197,0.667790711,0.674307108,0.301494002,0.674377263,Good Posture
0.497972548,0.407325417,0.521064878,0.353478581,0.53474313,0.353269905,0.667798758,0.673957705,0.301501334,0.674167514,Good Posture
0.497996718,0.407231033,0.521068454,0.353395611,0.534727395,0.353169709,0.668053985,0.675957024,0.299517065,0.674356461,Good Posture
0.49799338,0.406763107,0.520949543,0.352550864,0.534528852,0.352191269,0.668058991,0.676682293,0.301267087,0.674227297,Good Posture
0.497777164,0.406849414,0.520890236,0.352618963,0.5343768,0.352262139,0.66962117,0.676772296,0.301223695,0.677211046,Good Posture
0.497206122,0.406743228,0.520525098,0.352360368,0.533893168,0.352075309,0.669283271,0.676453233,0.300802559,0.677014351,Good Posture
0.49714011,0.409220785,0.520411849,0.354344726,0.533665538,0.353858054,0.669260025,0.676429093,0.301197946,0.677630365,Good Posture
0.497065365,0.409257531,0.520296037,0.354410619,0.533401251,0.353930086,0.669064045,0.675478756,0.301165313,0.677607775,Good Posture
0.497259557,0.409247696,0.520329237,0.354409993,0.533507049,0.35393557,0.669057488,0.675299466,0.302157164,0.67622,Good Posture
0.495612472,0.408866763,0.51893723,0.354362041,0.531982005,0.353809506,0.669373751,0.67694211,0.300626785,0.677757382,Good Posture
0.490520954,0.40891698,0.515177608,0.354370117,0.528871953,0.353809685,0.670441747,0.676905572,0.3006365,0.677763939,Good Posture
0.490516365,0.408998668,0.515142143,0.354491085,0.528722703,0.353950292,0.670532584,0.677900195,0.299729794,0.678040087,Good Posture
0.490518749,0.409988582,0.515070081,0.354765683,0.528567314,0.354167461,0.669950962,0.677901864,0.299527347,0.678724229,Good Posture
0.490523249,0.410162985,0.514917731,0.354873776,0.528478384,0.354277104,0.670023501,0.67785722,0.300069451,0.678149641,Good Posture
0.490680277,0.410200894,0.515073597,0.35493809,0.528534055,0.354348034,0.670015931,0.677877307,0.299179792,0.679000139,Good Posture
0.490648121,0.410783917,0.514885962,0.355297863,0.528370261,0.354660839,0.669190705,0.677763999,0.301199704,0.677354515,Good Posture
0.489828169,0.406594187,0.514264703,0.352665722,0.527705431,0.352347165,0.669289887,0.678126693,0.29880321,0.677554905,Good Posture
0.489843607,0.406912744,0.514182031,0.352769375,0.527588487,0.352408618,0.670600951,0.679075181,0.300080478,0.679307044,Good Posture
0.490378052,0.405923694,0.514804065,0.351664513,0.528154254,0.351390332,0.670244455,0.678544879,0.295297086,0.683005095,Good Posture
0.490405262,0.406318784,0.514806271,0.351698101,0.528185904,0.351404488,0.670278966,0.678345442,0.296277344,0.681539536,Good Posture
0.490835756,0.405642986,0.515120149,0.351209939,0.528322399,0.350983292,0.670183063,0.677783549,0.295951307,0.681589782,Good Posture
0.489807695,0.405653268,0.51424855,0.351218969,0.52766192,0.350998014,0.670263171,0.677666724,0.297132701,0.680230558,Good Posture
